Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,
2025-02-03,227.20343017578125,200.75546264648438,409.3462219238281,231.00992457632861,203.26952433872827,413.819015846871,224.90160402054906,199.62813772190552,407.09486781879804,229.17643705581955,200.2167427524067,410.02361028085903,73063300,27838300,25679100
2025-02-04,231.9765167236328,205.89334106445312,410.7906494140625,232.3053512351318,206.5617593135444,412.3347312724244,225.84826207175638,202.33175215943618,408.1707172498281,226.44614576626617,202.91038629062132,411.1094311345796,45067300,43856400,20532100
2025-02-05,231.64767456054688,190.8788299560547,411.7071533203125,231.84696405052938,192.29547965256887,412.2450632912695,227.46253445166022,187.58660858281107,408.82820710975375,227.72160926815613,190.61944853764197,410.7707509847515,39620300,70373900,16316700
2025-02-06,232.39501953125,191.148193359375,414.2274475097656,232.9729696905443,191.64701430736628,416.59833715024297,229.61488023403817,188.274979827647,412.41441067873023,230.47183871784506,189.05313928868878,412.41441067873023,29925300,29297400,16309800
2025-02-07,226.82481384277344,184.90293884277344,408.1806945800781,233.17227650429416,190.7291636568626,417.0466023053385,226.4561122970612,182.80790006860101,406.5370200109021,231.7772347780746,190.59948056645624,414.8849302333569,39707200,49315000,22886800
2025-02-10,227.0941162109375,186.03028869628906,410.6412353515625,230.02693972945139,187.75620494303442,413.8688167120759,226.64521806905947,185.42172652057317,409.34622639599064,229.0094413336025,186.90821845084508,412.1255190561223,33115600,23105600,20817900
2025-02-11,232.05198669433594,184.8830108642578,409.8642272949219,234.65561423976854,186.49918592908514,410.9101937368833,227.57296005864194,183.84545472617006,407.7324086942097,227.64278121837336,184.59368617808016,408.0711332799312,53718400,21239500,18140600
2025-02-12,236.29161071777344,183.17701721191406,407.4734191894531,236.38140252594314,184.67347995852103,409.17686151888216,230.11672290007743,181.40121597043165,402.82129152637,230.63545743654387,182.78793750670852,405.65041091349894,45243300,22072600,19121700
2025-02-13,240.9402313232422,185.70106506347656,408.9676818847656,241.74825103145727,185.84073432237415,409.425911619151,234.99479296308533,182.70813932469304,404.80366775695455,236.33151730066413,183.8853646978078,405.4412312140984,53614100,21402500,23891700
2025-02-14,244.00274658203125,184.79319763183594,406.86572265625,244.9504238462646,185.96043678235034,407.3438952203064,240.40156080072015,183.88535510775145,404.3255012113121,240.66092045804314,184.62360034222002,406.22818963820515,40896200,20448400,22758500
